,Candidat,Departement,Parti,Score
40,Robert Hue,hautes-alpes,Parti communiste,"8,63%"
41,Philippe de Villiers,hautes-alpes,"
								MPF								","5,48%"
42,Arlette Laguiller,hautes-alpes,Lutte ouvrière,"5,13%"
43,Dominique Voynet,hautes-alpes,Les Verts,"4,99%"
44,Jacques Cheminade,hautes-alpes,"
								Nouvelle solidarité								","0,34%"
45,Jacques Chirac,alpes-maritimes,rpr,"22,48%"
46,Jean-Marie Le Pen,alpes-maritimes,Front national,"22,48%"
47,Edouard Balladur,alpes-maritimes,UDF,"20,75%"
48,Lionel Jospin,alpes-maritimes,Parti socialiste,"16,36%"
49,Robert Hue,alpes-maritimes,Parti communiste,"6,79%"
50,Philippe de Villiers,alpes-maritimes,"
								MPF								","4,51%"
51,Arlette Laguiller,alpes-maritimes,Lutte ouvrière,"3,70%"
52,Dominique Voynet,alpes-maritimes,Les Verts,"2,72%"
53,Jacques Cheminade,alpes-maritimes,"
								Nouvelle solidarité								","0,21%"
54,Lionel Jospin,ardeche,Parti socialiste,"22,98%"
55,Edouard Balladur,ardeche,UDF,"20,07%"
56,Jacques Chirac,ardeche,rpr,"18,10%"
57,Jean-Marie Le Pen,ardeche,Front national,"14,18%"
58,Robert Hue,ardeche,Parti communiste,"9,97%"
59,Arlette Laguiller,ardeche,Lutte ouvrière,"5,41%"
60,Philippe de Villiers,ardeche,"
								MPF								","5,04%"
61,Dominique Voynet,ardeche,Les Verts,"3,93%"
62,Jacques Cheminade,ardeche,"
								Nouvelle solidarité								","0,32%"
63,Lionel Jospin,ardennes,Parti socialiste,"24,29%"
64,Jean-Marie Le Pen,ardennes,Front national,"18,04%"
65,Edouard Balladur,ardennes,UDF,"17,62%"
66,Jacques Chirac,ardennes,rpr,"17,54%"
67,Robert Hue,ardennes,Parti communiste,"9,47%"
68,Arlette Laguiller,ardennes,Lutte ouvrière,"5,35%"
69,Philippe de Villiers,ardennes,"
								MPF								","4,69%"
70,Dominique Voynet,ardennes,Les Verts,"2,75%"
71,Jacques Cheminade,ardennes,"
								Nouvelle solidarité								","0,25%"
72,Lionel Jospin,ariege,Parti socialiste,"33,81%"
73,Jacques Chirac,ariege,rpr,"16,68%"
74,Edouard Balladur,ariege,UDF,"14,43%"
75,Robert Hue,ariege,Parti communiste,"12,46%"
76,Jean-Marie Le Pen,ariege,Front national,"10,50%"
77,Arlette Laguiller,ariege,Lutte ouvrière,"4,98%"
78,Dominique Voynet,ariege,Les Verts,"3,51%"
79,Philippe de Villiers,ariege,"
								MPF								","3,31%"
80,Jacques Cheminade,ariege,"
								Nouvelle solidarité								","0,34%"
81,Jacques Chirac,aube,rpr,"20,95%"
82,Lionel Jospin,aube,Parti socialiste,"20,13%"
83,Edouard Balladur,aube,UDF,"19,02%"
84,Jean-Marie Le Pen,aube,Front national,"18,29%"
85,Robert Hue,aube,Parti communiste,"7,85%"
86,Philippe de Villiers,aube,"
								MPF								","5,97%"
87,Arlette Laguiller,aube,Lutte ouvrière,"4,73%"
88,Dominique Voynet,aube,Les Verts,"2,78%"
89,Jacques Cheminade,aube,"
								Nouvelle solidarité								","0,29%"
90,Lionel Jospin,aude,Parti socialiste,"31,14%"
91,Jacques Chirac,aude,rpr,"18,17%"
92,Edouard Balladur,aude,UDF,"13,75%"
93,Jean-Marie Le Pen,aude,Front national,"13,56%"
94,Robert Hue,aude,Parti communiste,"11,63%"
95,Arlette Laguiller,aude,Lutte ouvrière,"4,89%"
96,Philippe de Villiers,aude,"
								MPF								","3,91%"
97,Dominique Voynet,aude,Les Verts,"2,70%"
98,Jacques Cheminade,aude,"
								Nouvelle solidarité								","0,25%"
99,Jacques Chirac,aveyron,rpr,"26,03%"
100,Lionel Jospin,aveyron,Parti socialiste,"24,57%"
101,Edouard Balladur,aveyron,UDF,"21,05%"
102,Jean-Marie Le Pen,aveyron,Front national,"8,51%"
103,Robert Hue,aveyron,Parti communiste,"6,93%"
104,Arlette Laguiller,aveyron,Lutte ouvrière,"4,73%"
105,Philippe de Villiers,aveyron,"
								MPF								","4,46%"
106,Dominique Voynet,aveyron,Les Verts,"3,43%"
107,Jacques Cheminade,aveyron,"
								Nouvelle solidarité								","0,30%"
108,Jean-Marie Le Pen,bouches-du-rhone,Front national,"21,43%"
109,Lionel Jospin,bouches-du-rhone,Parti socialiste,"20,38%"
110,Edouard Balladur,bouches-du-rhone,UDF,"17,80%"
111,Jacques Chirac,bouches-du-rhone,rpr,"16,89%"
112,Robert Hue,bouches-du-rhone,Parti communiste,"11,81%"
113,Arlette Laguiller,bouches-du-rhone,Lutte ouvrière,"5,00%"
114,Philippe de Villiers,bouches-du-rhone,"
								MPF								","3,65%"
115,Dominique Voynet,bouches-du-rhone,Les Verts,"2,81%"
116,Jacques Cheminade,bouches-du-rhone,"
								Nouvelle solidarité								","0,23%"
117,Lionel Jospin,calvados,Parti socialiste,"23,81%"
118,Edouard Balladur,calvados,UDF,"20,85%"
119,Jacques Chirac,calvados,rpr,"20,03%"
120,Jean-Marie Le Pen,calvados,Front national,"12,40%"
121,Robert Hue,calvados,Parti communiste,"7,29%"
122,Arlette Laguiller,calvados,Lutte ouvrière,"6,70%"
123,Philippe de Villiers,calvados,"
								MPF								","4,98%"
124,Dominique Voynet,calvados,Les Verts,"3,64%"
125,Jacques Cheminade,calvados,"
								Nouvelle solidarité								","0,30%"
126,Jacques Chirac,cantal,rpr,"40,98%"
127,Lionel Jospin,cantal,Parti socialiste,"21,03%"
128,Edouard Balladur,cantal,UDF,"14,09%"
129,Jean-Marie Le Pen,cantal,Front national,"7,12%"
130,Robert Hue,cantal,Parti communiste,"6,84%"
131,Arlette Laguiller,cantal,Lutte ouvrière,"4,13%"
132,Philippe de Villiers,cantal,"
								MPF								","3,40%"
133,Dominique Voynet,cantal,Les Verts,"2,07%"
134,Jacques Cheminade,cantal,"
								Nouvelle solidarité								","0,34%"
135,Lionel Jospin,charente,Parti socialiste,"28,08%"
136,Jacques Chirac,charente,rpr,"21,08%"
137,Edouard Balladur,charente,UDF,"16,33%"
138,Jean-Marie Le Pen,charente,Front national,"10,21%"
139,Robert Hue,charente,Parti communiste,"9,40%"
140,Philippe de Villiers,charente,"
								MPF								","6,22%"
141,Arlette Laguiller,charente,Lutte ouvrière,"5,24%"
142,Dominique Voynet,charente,Les Verts,"3,11%"
143,Jacques Cheminade,charente,"
								Nouvelle solidarité								","0,32%"
144,Lionel Jospin,charente-maritime,Parti socialiste,"24,68%"
145,Jacques Chirac,charente-maritime,rpr,"20,00%"
146,Edouard Balladur,charente-maritime,UDF,"19,29%"
147,Jean-Marie Le Pen,charente-maritime,Front national,"11,31%"
148,Robert Hue,charente-maritime,Parti communiste,"8,46%"
149,Philippe de Villiers,charente-maritime,"
								MPF								","7,80%"
150,Arlette Laguiller,charente-maritime,Lutte ouvrière,"4,85%"
151,Dominique Voynet,charente-maritime,Les Verts,"3,29%"
152,Jacques Cheminade,charente-maritime,"
								Nouvelle solidarité								","0,31%"
153,Lionel Jospin,cher,Parti socialiste,"20,87%"
154,Jacques Chirac,cher,rpr,"20,27%"
155,Edouard Balladur,cher,UDF,"18,00%"
156,Robert Hue,cher,Parti communiste,"13,77%"
157,Jean-Marie Le Pen,cher,Front national,"13,54%"
158,Arlette Laguiller,cher,Lutte ouvrière,"5,43%"
159,Philippe de Villiers,cher,"
								MPF								","4,93%"
160,Dominique Voynet,cher,Les Verts,"2,88%"
161,Jacques Cheminade,cher,"
								Nouvelle solidarité								","0,32%"
162,Jacques Chirac,correze,rpr,"49,30%"
163,Lionel Jospin,correze,Parti socialiste,"19,86%"
164,Robert Hue,correze,Parti communiste,"13,98%"
165,Edouard Balladur,correze,UDF,"4,61%"
166,Jean-Marie Le Pen,correze,Front national,"4,58%"
167,Arlette Laguiller,correze,Lutte ouvrière,"3,42%"
168,Dominique Voynet,correze,Les Verts,"2,07%"
169,Philippe de Villiers,correze,"
								MPF								","1,95%"
170,Jacques Cheminade,correze,"
								Nouvelle solidarité								","0,22%"
171,Jacques Chirac,corse-du-sud,rpr,"30,41%"
172,Edouard Balladur,corse-du-sud,UDF,"22,58%"
173,Lionel Jospin,corse-du-sud,Parti socialiste,"18,07%"
174,Jean-Marie Le Pen,corse-du-sud,Front national,"11,60%"
175,Robert Hue,corse-du-sud,Parti communiste,"9,11%"
176,Arlette Laguiller,corse-du-sud,Lutte ouvrière,"3,04%"
177,Dominique Voynet,corse-du-sud,Les Verts,"2,65%"
178,Philippe de Villiers,corse-du-sud,"
								MPF								","2,27%"
179,Jacques Cheminade,corse-du-sud,"
								Nouvelle solidarité								","0,27%"
180,Jacques Chirac,haute-corse,rpr,"31,41%"
181,Lionel Jospin,haute-corse,Parti socialiste,"22,55%"
182,Edouard Balladur,haute-corse,UDF,"18,09%"
183,Robert Hue,haute-corse,Parti communiste,"10,16%"
184,Jean-Marie Le Pen,haute-corse,Front national,"9,83%"
185,Arlette Laguiller,haute-corse,Lutte ouvrière,"3,06%"
186,Dominique Voynet,haute-corse,Les Verts,"2,44%"
187,Philippe de Villiers,haute-corse,"
								MPF								","2,21%"
188,Jacques Cheminade,haute-corse,"
								Nouvelle solidarité								","0,26%"
189,Lionel Jospin,cote-d-or,Parti socialiste,"23,67%"
190,Jacques Chirac,cote-d-or,rpr,"20,96%"
191,Edouard Balladur,cote-d-or,UDF,"18,77%"
192,Jean-Marie Le Pen,cote-d-or,Front national,"15,84%"
193,Robert Hue,cote-d-or,Parti communiste,"6,22%"
194,Philippe de Villiers,cote-d-or,"
								MPF								","5,19%"
195,Arlette Laguiller,cote-d-or,Lutte ouvrière,"5,14%"
196,Dominique Voynet,cote-d-or,Les Verts,"3,98%"
197,Jacques Cheminade,cote-d-or,"
								Nouvelle solidarité								","0,25%"
198,Lionel Jospin,cotes-d-armor,Parti socialiste,"27,58%"
199,Edouard Balladur,cotes-d-armor,UDF,"20,12%"
200,Jacques Chirac,cotes-d-armor,rpr,"19,13%"
201,Robert Hue,cotes-d-armor,Parti communiste,"11,20%"
202,Jean-Marie Le Pen,cotes-d-armor,Front national,"8,84%"
203,Arlette Laguiller,cotes-d-armor,Lutte ouvrière,"5,49%"
204,Dominique Voynet,cotes-d-armor,Les Verts,"3,72%"
205,Philippe de Villiers,cotes-d-armor,"
								MPF								","3,68%"
206,Jacques Cheminade,cotes-d-armor,"
								Nouvelle solidarité								","0,25%"
207,Jacques Chirac,creuse,rpr,"34,54%"
208,Lionel Jospin,creuse,Parti socialiste,"24,80%"
209,Robert Hue,creuse,Parti communiste,"11,86%"
210,Edouard Balladur,creuse,UDF,"10,99%"
211,Jean-Marie Le Pen,creuse,Front national,"7,03%"
212,Arlette Laguiller,creuse,Lutte ouvrière,"4,26%"
213,Philippe de Villiers,creuse,"
								MPF								","3,47%"
214,Dominique Voynet,creuse,Les Verts,"2,77%"
215,Jacques Cheminade,creuse,"
								Nouvelle solidarité								","0,29%"
216,Jacques Chirac,dordogne,rpr,"25,42%"
217,Lionel Jospin,dordogne,Parti socialiste,"25,05%"
218,Robert Hue,dordogne,Parti communiste,"14,15%"
219,Edouard Balladur,dordogne,UDF,"13,88%"
220,Jean-Marie Le Pen,dordogne,Front national,"8,76%"
221,Philippe de Villiers,dordogne,"
								MPF								","5,09%"
222,Arlette Laguiller,dordogne,Lutte ouvrière,"4,38%"
223,Dominique Voynet,dordogne,Les Verts,"2,97%"
224,Jacques Cheminade,dordogne,"
								Nouvelle solidarité								","0,30%"
225,Lionel Jospin,doubs,Parti socialiste,"24,79%"
226,Jacques Chirac,doubs,rpr,"20,72%"
227,Edouard Balladur,doubs,UDF,"18,40%"
228,Jean-Marie Le Pen,doubs,Front national,"15,40%"
229,Arlette Laguiller,doubs,Lutte ouvrière,"5,40%"
230,Robert Hue,doubs,Parti communiste,"5,37%"
231,Dominique Voynet,doubs,Les Verts,"4,96%"
232,Philippe de Villiers,doubs,"
								MPF								","4,70%"
233,Jacques Cheminade,doubs,"
								Nouvelle solidarité								","0,26%"
234,Lionel Jospin,drome,Parti socialiste,"23,40%"
235,Edouard Balladur,drome,UDF,"18,72%"
236,Jean-Marie Le Pen,drome,Front national,"17,36%"
237,Jacques Chirac,drome,rpr,"16,96%"
238,Robert Hue,drome,Parti communiste,"8,16%"
239,Philippe de Villiers,drome,"
								MPF								","5,49%"
240,Arlette Laguiller,drome,Lutte ouvrière,"5,26%"
241,Dominique Voynet,drome,Les Verts,"4,33%"
242,Jacques Cheminade,drome,"
								Nouvelle solidarité								","0,31%"
243,Lionel Jospin,eure,Parti socialiste,"20,69%"
244,Jacques Chirac,eure,rpr,"19,48%"
245,Edouard Balladur,eure,UDF,"18,68%"
246,Jean-Marie Le Pen,eure,Front national,"18,37%"
247,Robert Hue,eure,Parti communiste,"8,53%"
248,Arlette Laguiller,eure,Lutte ouvrière,"5,68%"
249,Philippe de Villiers,eure,"
								MPF								","5,23%"
250,Dominique Voynet,eure,Les Verts,"3,03%"
251,Jacques Cheminade,eure,"
								Nouvelle solidarité								","0,31%"
252,Lionel Jospin,eure-et-loir,Parti socialiste,"21,37%"
253,Edouard Balladur,eure-et-loir,UDF,"20,36%"
254,Jacques Chirac,eure-et-loir,rpr,"18,82%"
255,Jean-Marie Le Pen,eure-et-loir,Front national,"18,22%"
256,Robert Hue,eure-et-loir,Parti communiste,"6,79%"
257,Philippe de Villiers,eure-et-loir,"
								MPF								","6,18%"
258,Arlette Laguiller,eure-et-loir,Lutte ouvrière,"5,07%"
259,Dominique Voynet,eure-et-loir,Les Verts,"2,94%"
260,Jacques Cheminade,eure-et-loir,"
								Nouvelle solidarité								","0,24%"
261,Lionel Jospin,finistere,Parti socialiste,"26,14%"
262,Jacques Chirac,finistere,rpr,"21,78%"
263,Edouard Balladur,finistere,UDF,"21,06%"
264,Jean-Marie Le Pen,finistere,Front national,"9,20%"
265,Robert Hue,finistere,Parti communiste,"7,46%"
266,Arlette Laguiller,finistere,Lutte ouvrière,"6,08%"
267,Dominique Voynet,finistere,Les Verts,"4,20%"
268,Philippe de Villiers,finistere,"
								MPF								","3,85%"
269,Jacques Cheminade,finistere,"
								Nouvelle solidarité								","0,24%"
270,Lionel Jospin,gard,Parti socialiste,"21,54%"
271,Jean-Marie Le Pen,gard,Front national,"20,28%"
272,Edouard Balladur,gard,UDF,"16,34%"
273,Jacques Chirac,gard,rpr,"16,16%"
274,Robert Hue,gard,Parti communiste,"12,82%"
275,Arlette Laguiller,gard,Lutte ouvrière,"5,16%"
276,Philippe de Villiers,gard,"
								MPF								","4,48%"
277,Dominique Voynet,gard,Les Verts,"2,99%"
278,Jacques Cheminade,gard,"
								Nouvelle solidarité								","0,24%"
279,Lionel Jospin,haute-garonne,Parti socialiste,"31,87%"
280,Jacques Chirac,haute-garonne,rpr,"18,29%"
281,Edouard Balladur,haute-garonne,UDF,"16,02%"
282,Jean-Marie Le Pen,haute-garonne,Front national,"12,63%"
283,Robert Hue,haute-garonne,Parti communiste,"7,77%"
284,Arlette Laguiller,haute-garonne,Lutte ouvrière,"6,05%"
285,Dominique Voynet,haute-garonne,Les Verts,"3,66%"
286,Philippe de Villiers,haute-garonne,"
								MPF								","3,46%"
287,Jacques Cheminade,haute-garonne,"
								Nouvelle solidarité								","0,27%"
288,Lionel Jospin,gers,Parti socialiste,"29,50%"
289,Jacques Chirac,gers,rpr,"21,24%"
290,Edouard Balladur,gers,UDF,"17,63%"
291,Jean-Marie Le Pen,gers,Front national,"9,33%"
292,Robert Hue,gers,Parti communiste,"8,34%"
293,Philippe de Villiers,gers,"
								MPF								","5,61%"
294,Arlette Laguiller,gers,Lutte ouvrière,"4,82%"
295,Dominique Voynet,gers,Les Verts,"3,16%"
296,Jacques Cheminade,gers,"
								Nouvelle solidarité								","0,36%"
297,Lionel Jospin,gironde,Parti socialiste,"27,70%"
298,Jacques Chirac,gironde,rpr,"19,50%"
299,Edouard Balladur,gironde,UDF,"17,72%"
300,Jean-Marie Le Pen,gironde,Front national,"12,78%"
301,Robert Hue,gironde,Parti communiste,"8,47%"
302,Arlette Laguiller,gironde,Lutte ouvrière,"5,95%"
303,Philippe de Villiers,gironde,"
								MPF								","4,61%"
304,Dominique Voynet,gironde,Les Verts,"3,01%"
305,Jacques Cheminade,gironde,"
								Nouvelle solidarité								","0,27%"
306,Lionel Jospin,herault,Parti socialiste,"24,16%"
307,Jean-Marie Le Pen,herault,Front national,"18,96%"
308,Jacques Chirac,herault,rpr,"17,70%"
309,Edouard Balladur,herault,UDF,"16,13%"
310,Robert Hue,herault,Parti communiste,"10,24%"
311,Arlette Laguiller,herault,Lutte ouvrière,"5,22%"
312,Philippe de Villiers,herault,"
								MPF								","4,12%"
313,Dominique Voynet,herault,Les Verts,"3,25%"
314,Jacques Cheminade,herault,"
								Nouvelle solidarité								","0,22%"
315,Lionel Jospin,ille-et-vilaine,Parti socialiste,"25,64%"
316,Edouard Balladur,ille-et-vilaine,UDF,"22,47%"
317,Jacques Chirac,ille-et-vilaine,rpr,"21,04%"
318,Jean-Marie Le Pen,ille-et-vilaine,Front national,"8,98%"
319,Arlette Laguiller,ille-et-vilaine,Lutte ouvrière,"6,52%"
320,Robert Hue,ille-et-vilaine,Parti communiste,"6,30%"
321,Philippe de Villiers,ille-et-vilaine,"
								MPF								","4,48%"
322,Dominique Voynet,ille-et-vilaine,Les Verts,"4,33%"
323,Jacques Cheminade,ille-et-vilaine,"
								Nouvelle solidarité								","0,25%"
324,Lionel Jospin,indre,Parti socialiste,"23,58%"
325,Jacques Chirac,indre,rpr,"21,44%"
326,Edouard Balladur,indre,UDF,"17,02%"
327,Jean-Marie Le Pen,indre,Front national,"13,00%"
328,Robert Hue,indre,Parti communiste,"10,69%"
329,Philippe de Villiers,indre,"
								MPF								","5,92%"
330,Arlette Laguiller,indre,Lutte ouvrière,"5,13%"
331,Dominique Voynet,indre,Les Verts,"2,89%"
332,Jacques Cheminade,indre,"
								Nouvelle solidarité								","0,33%"
333,Lionel Jospin,indre-et-loire,Parti socialiste,"24,62%"
334,Edouard Balladur,indre-et-loire,UDF,"21,21%"
335,Jacques Chirac,indre-et-loire,rpr,"18,08%"
336,Jean-Marie Le Pen,indre-et-loire,Front national,"12,97%"
337,Robert Hue,indre-et-loire,Parti communiste,"7,61%"
338,Philippe de Villiers,indre-et-loire,"
								MPF								","6,27%"
339,Arlette Laguiller,indre-et-loire,Lutte ouvrière,"5,32%"
340,Dominique Voynet,indre-et-loire,Les Verts,"3,63%"
341,Jacques Cheminade,indre-et-loire,"
								Nouvelle solidarité								","0,29%"
342,Lionel Jospin,isere,Parti socialiste,"25,19%"
343,Edouard Balladur,isere,UDF,"17,95%"
344,Jean-Marie Le Pen,isere,Front national,"17,48%"
345,Jacques Chirac,isere,rpr,"15,78%"
346,Robert Hue,isere,Parti communiste,"8,63%"
347,Arlette Laguiller,isere,Lutte ouvrière,"5,99%"
348,Dominique Voynet,isere,Les Verts,"4,39%"
349,Philippe de Villiers,isere,"
								MPF								","4,33%"
350,Jacques Cheminade,isere,"
								Nouvelle solidarité								","0,26%"
351,Lionel Jospin,jura,Parti socialiste,"21,88%"
352,Edouard Balladur,jura,UDF,"20,24%"
353,Jacques Chirac,jura,rpr,"17,33%"
354,Jean-Marie Le Pen,jura,Front national,"15,46%"
355,Robert Hue,jura,Parti communiste,"8,24%"
356,Dominique Voynet,jura,Les Verts,"5,87%"
357,Philippe de Villiers,jura,"
								MPF								","5,41%"
358,Arlette Laguiller,jura,Lutte ouvrière,"5,31%"
359,Jacques Cheminade,jura,"
								Nouvelle solidarité								","0,27%"
360,Lionel Jospin,landes,Parti socialiste,"31,96%"
361,Jacques Chirac,landes,rpr,"21,18%"
362,Edouard Balladur,landes,UDF,"17,51%"
363,Robert Hue,landes,Parti communiste,"9,53%"
364,Jean-Marie Le Pen,landes,Front national,"8,90%"
365,Arlette Laguiller,landes,Lutte ouvrière,"4,24%"
366,Philippe de Villiers,landes,"
								MPF								","4,20%"
367,Dominique Voynet,landes,Les Verts,"2,22%"
368,Jacques Cheminade,landes,"
								Nouvelle solidarité								","0,27%"
369,Lionel Jospin,loir-et-cher,Parti socialiste,"22,68%"
370,Edouard Balladur,loir-et-cher,UDF,"20,09%"
371,Jacques Chirac,loir-et-cher,rpr,"17,66%"
372,Jean-Marie Le Pen,loir-et-cher,Front national,"15,36%"
373,Robert Hue,loir-et-cher,Parti communiste,"8,54%"
374,Philippe de Villiers,loir-et-cher,"
								MPF								","7,38%"
375,Arlette Laguiller,loir-et-cher,Lutte ouvrière,"4,93%"
376,Dominique Voynet,loir-et-cher,Les Verts,"3,08%"
377,Jacques Cheminade,loir-et-cher,"
								Nouvelle solidarité								","0,28%"
378,Jean-Marie Le Pen,loire,Front national,"21,08%"
379,Lionel Jospin,loire,Parti socialiste,"20,39%"
380,Edouard Balladur,loire,UDF,"18,85%"
381,Jacques Chirac,loire,rpr,"17,66%"
382,Robert Hue,loire,Parti communiste,"8,46%"
383,Arlette Laguiller,loire,Lutte ouvrière,"5,05%"
384,Philippe de Villiers,loire,"
								MPF								","4,90%"
385,Dominique Voynet,loire,Les Verts,"3,36%"
386,Jacques Cheminade,loire,"
								Nouvelle solidarité								","0,25%"
387,Jacques Chirac,haute-loire,rpr,"22,93%"
388,Lionel Jospin,haute-loire,Parti socialiste,"20,29%"
389,Edouard Balladur,haute-loire,UDF,"19,78%"
390,Jean-Marie Le Pen,haute-loire,Front national,"15,80%"
391,Robert Hue,haute-loire,Parti communiste,"6,67%"
392,Arlette Laguiller,haute-loire,Lutte ouvrière,"5,46%"
393,Philippe de Villiers,haute-loire,"
								MPF								","5,42%"
394,Dominique Voynet,haute-loire,Les Verts,"3,33%"
395,Jacques Cheminade,haute-loire,"
								Nouvelle solidarité								","0,33%"
396,Lionel Jospin,loire-atlantique,Parti socialiste,"26,15%"
397,Edouard Balladur,loire-atlantique,UDF,"20,90%"
398,Jacques Chirac,loire-atlantique,rpr,"18,50%"
399,Jean-Marie Le Pen,loire-atlantique,Front national,"9,61%"
400,Robert Hue,loire-atlantique,Parti communiste,"7,19%"
401,Philippe de Villiers,loire-atlantique,"
								MPF								","6,97%"
402,Arlette Laguiller,loire-atlantique,Lutte ouvrière,"6,20%"
403,Dominique Voynet,loire-atlantique,Les Verts,"4,21%"
404,Jacques Cheminade,loire-atlantique,"
								Nouvelle solidarité								","0,28%"
405,Lionel Jospin,loiret,Parti socialiste,"20,97%"
406,Jacques Chirac,loiret,rpr,"20,47%"
407,Edouard Balladur,loiret,UDF,"20,11%"
408,Jean-Marie Le Pen,loiret,Front national,"15,83%"
409,Robert Hue,loiret,Parti communiste,"8,08%"
410,Philippe de Villiers,loiret,"
								MPF								","5,85%"
411,Arlette Laguiller,loiret,Lutte ouvrière,"5,03%"
412,Dominique Voynet,loiret,Les Verts,"3,35%"
413,Jacques Cheminade,loiret,"
								Nouvelle solidarité								","0,30%"
414,Lionel Jospin,lot,Parti socialiste,"29,00%"
415,Jacques Chirac,lot,rpr,"25,29%"
416,Edouard Balladur,lot,UDF,"13,73%"
417,Robert Hue,lot,Parti communiste,"10,94%"
418,Jean-Marie Le Pen,lot,Front national,"7,71%"
419,Arlette Laguiller,lot,Lutte ouvrière,"5,02%"
420,Philippe de Villiers,lot,"
								MPF								","4,35%"
421,Dominique Voynet,lot,Les Verts,"3,66%"
422,Jacques Cheminade,lot,"
								Nouvelle solidarité								","0,30%"
423,Lionel Jospin,lot-et-garonne,Parti socialiste,"23,42%"
424,Jacques Chirac,lot-et-garonne,rpr,"20,19%"
425,Edouard Balladur,lot-et-garonne,UDF,"16,43%"
426,Jean-Marie Le Pen,lot-et-garonne,Front national,"14,74%"
427,Robert Hue,lot-et-garonne,Parti communiste,"10,63%"
428,Philippe de Villiers,lot-et-garonne,"
								MPF								","6,28%"
429,Arlette Laguiller,lot-et-garonne,Lutte ouvrière,"4,98%"
430,Dominique Voynet,lot-et-garonne,Les Verts,"3,01%"
431,Jacques Cheminade,lot-et-garonne,"
								Nouvelle solidarité								","0,30%"
432,Jacques Chirac,lozere,rpr,"26,84%"
433,Edouard Balladur,lozere,UDF,"24,35%"
434,Lionel Jospin,lozere,Parti socialiste,"20,56%"
435,Jean-Marie Le Pen,lozere,Front national,"9,62%"
436,Robert Hue,lozere,Parti communiste,"7,03%"
437,Arlette Laguiller,lozere,Lutte ouvrière,"4,13%"
438,Philippe de Villiers,lozere,"
								MPF								","3,94%"
439,Dominique Voynet,lozere,Les Verts,"3,24%"
440,Jacques Cheminade,lozere,"
								Nouvelle solidarité								","0,30%"
441,Edouard Balladur,maine-et-loire,UDF,"25,08%"
442,Lionel Jospin,maine-et-loire,Parti socialiste,"20,92%"
443,Jacques Chirac,maine-et-loire,rpr,"20,03%"
444,Jean-Marie Le Pen,maine-et-loire,Front national,"10,09%"
445,Philippe de Villiers,maine-et-loire,"
								MPF								","8,98%"
446,Robert Hue,maine-et-loire,Parti communiste,"5,47%"
447,Arlette Laguiller,maine-et-loire,Lutte ouvrière,"5,35%"
448,Dominique Voynet,maine-et-loire,Les Verts,"3,78%"
449,Jacques Cheminade,maine-et-loire,"
								Nouvelle solidarité								","0,30%"
450,Edouard Balladur,manche,UDF,"24,18%"
451,Jacques Chirac,manche,rpr,"24,04%"
