,Candidat,Departement,Parti,Score
111,Jean-Marie Le Pen,aube,FN,"15,44%"
112,Olivier Besancenot,aube,LCR,"3,68%"
113,Philippe de Villiers,aube,MPF,"2,95%"
114,Marie-George Buffet,aube,PCF,"1,68%"
115,Arlette Laguiller,aube,LO,"1,47%"
116,Dominique Voynet,aube,Les Verts,"1,35%"
117,Frédéric Nihous,aube,CPNT,"1,29%"
118,José Bové,aube,DIV,"0,94%"
119,Gérard Schivardi,aube,PT,"0,31%"
120,Ségolène Royal,aude,PS,"30,70%"
121,Nicolas Sarkozy,aude,UMP,"26,29%"
122,François Bayrou,aude,UDF,"13,87%"
123,Jean-Marie Le Pen,aude,FN,"13,20%"
124,Olivier Besancenot,aude,LCR,"4,11%"
125,Marie-George Buffet,aude,PCF,"2,80%"
126,Gérard Schivardi,aude,PT,"2,02%"
127,Philippe de Villiers,aude,MPF,"1,79%"
128,José Bové,aude,DIV,"1,67%"
129,Frédéric Nihous,aude,CPNT,"1,31%"
130,Dominique Voynet,aude,Les Verts,"1,19%"
131,Arlette Laguiller,aude,LO,"1,04%"
132,Nicolas Sarkozy,aveyron,UMP,"28,74%"
133,Ségolène Royal,aveyron,PS,"27,17%"
134,François Bayrou,aveyron,UDF,"21,59%"
135,Jean-Marie Le Pen,aveyron,FN,"7,39%"
136,Olivier Besancenot,aveyron,LCR,"3,96%"
137,José Bové,aveyron,DIV,"2,95%"
138,Philippe de Villiers,aveyron,MPF,"2,01%"
139,Frédéric Nihous,aveyron,CPNT,"1,76%"
140,Marie-George Buffet,aveyron,PCF,"1,52%"
141,Dominique Voynet,aveyron,Les Verts,"1,38%"
142,Arlette Laguiller,aveyron,LO,"1,01%"
143,Gérard Schivardi,aveyron,PT,"0,52%"
144,Nicolas Sarkozy,bouches-du-rhone,UMP,"34,24%"
145,Ségolène Royal,bouches-du-rhone,PS,"23,78%"
146,François Bayrou,bouches-du-rhone,UDF,"15,05%"
147,Jean-Marie Le Pen,bouches-du-rhone,FN,"13,87%"
148,Olivier Besancenot,bouches-du-rhone,LCR,"3,46%"
149,Marie-George Buffet,bouches-du-rhone,PCF,"2,96%"
150,Philippe de Villiers,bouches-du-rhone,MPF,"1,66%"
151,José Bové,bouches-du-rhone,DIV,"1,37%"
152,Dominique Voynet,bouches-du-rhone,Les Verts,"1,34%"
153,Arlette Laguiller,bouches-du-rhone,LO,"1,04%"
154,Frédéric Nihous,bouches-du-rhone,CPNT,"0,87%"
155,Gérard Schivardi,bouches-du-rhone,PT,"0,38%"
156,Nicolas Sarkozy,calvados,UMP,"29,25%"
157,Ségolène Royal,calvados,PS,"25,18%"
158,François Bayrou,calvados,UDF,"20,23%"
159,Jean-Marie Le Pen,calvados,FN,"8,99%"
160,Olivier Besancenot,calvados,LCR,"5,23%"
161,Philippe de Villiers,calvados,MPF,"2,51%"
162,Frédéric Nihous,calvados,CPNT,"2,35%"
163,Dominique Voynet,calvados,Les Verts,"1,65%"
164,Arlette Laguiller,calvados,LO,"1,63%"
165,José Bové,calvados,DIV,"1,36%"
166,Marie-George Buffet,calvados,PCF,"1,32%"
167,Gérard Schivardi,calvados,PT,"0,30%"
168,Nicolas Sarkozy,cantal,UMP,"33,36%"
169,Ségolène Royal,cantal,PS,"24,00%"
170,François Bayrou,cantal,UDF,"20,13%"
171,Jean-Marie Le Pen,cantal,FN,"8,17%"
172,Olivier Besancenot,cantal,LCR,"3,86%"
173,Frédéric Nihous,cantal,CPNT,"2,47%"
174,Philippe de Villiers,cantal,MPF,"2,04%"
175,José Bové,cantal,DIV,"1,52%"
176,Marie-George Buffet,cantal,PCF,"1,44%"
177,Arlette Laguiller,cantal,LO,"1,26%"
178,Dominique Voynet,cantal,Les Verts,"1,19%"
179,Gérard Schivardi,cantal,PT,"0,55%"
180,Ségolène Royal,charente,PS,"30,33%"
181,Nicolas Sarkozy,charente,UMP,"27,11%"
182,François Bayrou,charente,UDF,"17,14%"
183,Jean-Marie Le Pen,charente,FN,"9,15%"
184,Olivier Besancenot,charente,LCR,"4,72%"
185,Philippe de Villiers,charente,MPF,"3,24%"
186,Frédéric Nihous,charente,CPNT,"1,79%"
187,Marie-George Buffet,charente,PCF,"1,78%"
188,José Bové,charente,DIV,"1,45%"
189,Arlette Laguiller,charente,LO,"1,43%"
190,Dominique Voynet,charente,Les Verts,"1,43%"
191,Gérard Schivardi,charente,PT,"0,41%"
192,Nicolas Sarkozy,charente-maritime,UMP,"30,09%"
193,Ségolène Royal,charente-maritime,PS,"27,66%"
194,François Bayrou,charente-maritime,UDF,"17,22%"
195,Jean-Marie Le Pen,charente-maritime,FN,"8,94%"
196,Olivier Besancenot,charente-maritime,LCR,"4,06%"
197,Philippe de Villiers,charente-maritime,MPF,"3,69%"
198,Frédéric Nihous,charente-maritime,CPNT,"2,41%"
199,Marie-George Buffet,charente-maritime,PCF,"1,54%"
200,Dominique Voynet,charente-maritime,Les Verts,"1,49%"
201,José Bové,charente-maritime,DIV,"1,31%"
202,Arlette Laguiller,charente-maritime,LO,"1,23%"
203,Gérard Schivardi,charente-maritime,PT,"0,36%"
204,Nicolas Sarkozy,cher,UMP,"28,51%"
205,Ségolène Royal,cher,PS,"23,56%"
206,François Bayrou,cher,UDF,"17,95%"
207,Jean-Marie Le Pen,cher,FN,"11,73%"
208,Olivier Besancenot,cher,LCR,"5,18%"
209,Marie-George Buffet,cher,PCF,"3,85%"
210,Philippe de Villiers,cher,MPF,"2,76%"
211,Arlette Laguiller,cher,LO,"1,78%"
212,Frédéric Nihous,cher,CPNT,"1,52%"
213,Dominique Voynet,cher,Les Verts,"1,42%"
214,José Bové,cher,DIV,"1,33%"
215,Gérard Schivardi,cher,PT,"0,42%"
216,Ségolène Royal,correze,PS,"29,73%"
217,Nicolas Sarkozy,correze,UMP,"28,04%"
218,François Bayrou,correze,UDF,"17,99%"
219,Jean-Marie Le Pen,correze,FN,"7,58%"
220,Olivier Besancenot,correze,LCR,"4,50%"
221,Marie-George Buffet,correze,PCF,"3,86%"
222,Philippe de Villiers,correze,MPF,"2,14%"
223,Frédéric Nihous,correze,CPNT,"1,92%"
224,José Bové,correze,DIV,"1,37%"
225,Arlette Laguiller,correze,LO,"1,20%"
226,Dominique Voynet,correze,Les Verts,"1,18%"
227,Gérard Schivardi,correze,PT,"0,49%"
228,Nicolas Sarkozy,corse-du-sud,UMP,"37,54%"
229,Ségolène Royal,corse-du-sud,PS,"19,64%"
230,Jean-Marie Le Pen,corse-du-sud,FN,"15,92%"
231,François Bayrou,corse-du-sud,UDF,"12,98%"
232,Olivier Besancenot,corse-du-sud,LCR,"4,24%"
233,Marie-George Buffet,corse-du-sud,PCF,"3,24%"
234,Frédéric Nihous,corse-du-sud,CPNT,"1,50%"
235,Dominique Voynet,corse-du-sud,Les Verts,"1,38%"
236,Philippe de Villiers,corse-du-sud,MPF,"1,36%"
237,José Bové,corse-du-sud,DIV,"1,08%"
238,Arlette Laguiller,corse-du-sud,LO,"0,83%"
239,Gérard Schivardi,corse-du-sud,PT,"0,30%"
240,Nicolas Sarkozy,haute-corse,UMP,"36,54%"
241,Ségolène Royal,haute-corse,PS,"23,65%"
242,Jean-Marie Le Pen,haute-corse,FN,"14,70%"
243,François Bayrou,haute-corse,UDF,"11,83%"
244,Olivier Besancenot,haute-corse,LCR,"3,55%"
245,Marie-George Buffet,haute-corse,PCF,"3,46%"
246,Frédéric Nihous,haute-corse,CPNT,"1,45%"
247,Dominique Voynet,haute-corse,Les Verts,"1,38%"
248,Philippe de Villiers,haute-corse,MPF,"1,15%"
249,José Bové,haute-corse,DIV,"1,08%"
250,Arlette Laguiller,haute-corse,LO,"0,92%"
251,Gérard Schivardi,haute-corse,PT,"0,29%"
252,Nicolas Sarkozy,cote-d-or,UMP,"32,08%"
253,Ségolène Royal,cote-d-or,PS,"24,14%"
254,François Bayrou,cote-d-or,UDF,"19,25%"
255,Jean-Marie Le Pen,cote-d-or,FN,"11,66%"
256,Olivier Besancenot,cote-d-or,LCR,"3,86%"
257,Philippe de Villiers,cote-d-or,MPF,"2,28%"
258,Dominique Voynet,cote-d-or,Les Verts,"1,59%"
259,Arlette Laguiller,cote-d-or,LO,"1,35%"
260,Marie-George Buffet,cote-d-or,PCF,"1,29%"
261,José Bové,cote-d-or,DIV,"1,23%"
262,Frédéric Nihous,cote-d-or,CPNT,"0,91%"
263,Gérard Schivardi,cote-d-or,PT,"0,36%"
264,Ségolène Royal,cotes-d-armor,PS,"30,05%"
265,Nicolas Sarkozy,cotes-d-armor,UMP,"25,80%"
266,François Bayrou,cotes-d-armor,UDF,"21,08%"
267,Jean-Marie Le Pen,cotes-d-armor,FN,"7,39%"
268,Olivier Besancenot,cotes-d-armor,LCR,"5,07%"
269,Marie-George Buffet,cotes-d-armor,PCF,"2,33%"
270,Philippe de Villiers,cotes-d-armor,MPF,"1,98%"
271,Dominique Voynet,cotes-d-armor,Les Verts,"1,88%"
272,José Bové,cotes-d-armor,DIV,"1,52%"
273,Arlette Laguiller,cotes-d-armor,LO,"1,42%"
274,Frédéric Nihous,cotes-d-armor,CPNT,"1,15%"
275,Gérard Schivardi,cotes-d-armor,PT,"0,32%"
276,Ségolène Royal,creuse,PS,"29,02%"
277,Nicolas Sarkozy,creuse,UMP,"27,41%"
278,François Bayrou,creuse,UDF,"16,66%"
279,Jean-Marie Le Pen,creuse,FN,"8,68%"
280,Olivier Besancenot,creuse,LCR,"5,47%"
281,Marie-George Buffet,creuse,PCF,"2,90%"
282,Philippe de Villiers,creuse,MPF,"2,64%"
283,Frédéric Nihous,creuse,CPNT,"2,17%"
284,José Bové,creuse,DIV,"1,70%"
285,Arlette Laguiller,creuse,LO,"1,58%"
286,Dominique Voynet,creuse,Les Verts,"1,28%"
287,Gérard Schivardi,creuse,PT,"0,49%"
288,Ségolène Royal,dordogne,PS,"29,81%"
289,Nicolas Sarkozy,dordogne,UMP,"26,91%"
290,François Bayrou,dordogne,UDF,"17,46%"
291,Jean-Marie Le Pen,dordogne,FN,"9,48%"
292,Olivier Besancenot,dordogne,LCR,"4,31%"
293,Marie-George Buffet,dordogne,PCF,"3,32%"
294,Philippe de Villiers,dordogne,MPF,"2,24%"
295,José Bové,dordogne,DIV,"1,72%"
296,Frédéric Nihous,dordogne,CPNT,"1,70%"
297,Dominique Voynet,dordogne,Les Verts,"1,34%"
298,Arlette Laguiller,dordogne,LO,"1,22%"
299,Gérard Schivardi,dordogne,PT,"0,48%"
300,Nicolas Sarkozy,doubs,UMP,"32,39%"
301,Ségolène Royal,doubs,PS,"24,87%"
302,François Bayrou,doubs,UDF,"16,96%"
303,Jean-Marie Le Pen,doubs,FN,"12,24%"
304,Olivier Besancenot,doubs,LCR,"4,16%"
305,Philippe de Villiers,doubs,MPF,"2,17%"
306,Dominique Voynet,doubs,Les Verts,"1,89%"
307,Arlette Laguiller,doubs,LO,"1,50%"
308,José Bové,doubs,DIV,"1,49%"
309,Marie-George Buffet,doubs,PCF,"1,09%"
310,Frédéric Nihous,doubs,CPNT,"0,95%"
311,Gérard Schivardi,doubs,PT,"0,30%"
312,Nicolas Sarkozy,drome,UMP,"29,93%"
313,Ségolène Royal,drome,PS,"24,23%"
314,François Bayrou,drome,UDF,"18,55%"
315,Jean-Marie Le Pen,drome,FN,"11,96%"
316,Olivier Besancenot,drome,LCR,"4,14%"
317,Philippe de Villiers,drome,MPF,"2,55%"
318,Dominique Voynet,drome,Les Verts,"1,86%"
319,Marie-George Buffet,drome,PCF,"1,85%"
320,José Bové,drome,DIV,"1,75%"
321,Frédéric Nihous,drome,CPNT,"1,65%"
322,Arlette Laguiller,drome,LO,"1,14%"
323,Gérard Schivardi,drome,PT,"0,41%"
324,Nicolas Sarkozy,eure,UMP,"31,41%"
325,Ségolène Royal,eure,PS,"21,24%"
326,François Bayrou,eure,UDF,"18,23%"
327,Jean-Marie Le Pen,eure,FN,"13,20%"
328,Olivier Besancenot,eure,LCR,"4,98%"
329,Philippe de Villiers,eure,MPF,"2,83%"
330,Marie-George Buffet,eure,PCF,"1,85%"
331,Arlette Laguiller,eure,LO,"1,67%"
332,Frédéric Nihous,eure,CPNT,"1,61%"
333,Dominique Voynet,eure,Les Verts,"1,44%"
334,José Bové,eure,DIV,"1,17%"
335,Gérard Schivardi,eure,PT,"0,35%"
336,Nicolas Sarkozy,eure-et-loir,UMP,"33,13%"
337,Ségolène Royal,eure-et-loir,PS,"22,15%"
338,François Bayrou,eure-et-loir,UDF,"18,21%"
339,Jean-Marie Le Pen,eure-et-loir,FN,"12,25%"
340,Olivier Besancenot,eure-et-loir,LCR,"4,04%"
341,Philippe de Villiers,eure-et-loir,MPF,"3,21%"
342,Arlette Laguiller,eure-et-loir,LO,"1,49%"
343,Dominique Voynet,eure-et-loir,Les Verts,"1,41%"
344,Frédéric Nihous,eure-et-loir,CPNT,"1,36%"
345,Marie-George Buffet,eure-et-loir,PCF,"1,35%"
346,José Bové,eure-et-loir,DIV,"0,95%"
347,Gérard Schivardi,eure-et-loir,PT,"0,44%"
348,Ségolène Royal,finistere,PS,"29,19%"
349,Nicolas Sarkozy,finistere,UMP,"27,27%"
350,François Bayrou,finistere,UDF,"22,74%"
351,Jean-Marie Le Pen,finistere,FN,"6,52%"
352,Olivier Besancenot,finistere,LCR,"5,00%"
353,Dominique Voynet,finistere,Les Verts,"1,85%"
354,Philippe de Villiers,finistere,MPF,"1,74%"
355,Marie-George Buffet,finistere,PCF,"1,66%"
356,José Bové,finistere,DIV,"1,47%"
357,Arlette Laguiller,finistere,LO,"1,23%"
358,Frédéric Nihous,finistere,CPNT,"1,06%"
359,Gérard Schivardi,finistere,PT,"0,26%"
360,Nicolas Sarkozy,gard,UMP,"30,45%"
361,Ségolène Royal,gard,PS,"23,31%"
362,François Bayrou,gard,UDF,"15,71%"
363,Jean-Marie Le Pen,gard,FN,"15,44%"
364,Olivier Besancenot,gard,LCR,"4,16%"
365,Marie-George Buffet,gard,PCF,"2,86%"
366,Philippe de Villiers,gard,MPF,"2,02%"
367,José Bové,gard,DIV,"1,73%"
368,Frédéric Nihous,gard,CPNT,"1,34%"
369,Dominique Voynet,gard,Les Verts,"1,32%"
370,Arlette Laguiller,gard,LO,"1,17%"
371,Gérard Schivardi,gard,PT,"0,48%"
372,Ségolène Royal,haute-garonne,PS,"33,09%"
373,Nicolas Sarkozy,haute-garonne,UMP,"26,68%"
374,François Bayrou,haute-garonne,UDF,"19,36%"
375,Jean-Marie Le Pen,haute-garonne,FN,"8,45%"
376,Olivier Besancenot,haute-garonne,LCR,"3,75%"
377,Marie-George Buffet,haute-garonne,PCF,"1,71%"
378,José Bové,haute-garonne,DIV,"1,64%"
379,Dominique Voynet,haute-garonne,Les Verts,"1,59%"
380,Philippe de Villiers,haute-garonne,MPF,"1,47%"
381,Arlette Laguiller,haute-garonne,LO,"1,03%"
382,Frédéric Nihous,haute-garonne,CPNT,"0,82%"
383,Gérard Schivardi,haute-garonne,PT,"0,41%"
384,Ségolène Royal,gers,PS,"31,19%"
385,Nicolas Sarkozy,gers,UMP,"26,08%"
386,François Bayrou,gers,UDF,"20,23%"
387,Jean-Marie Le Pen,gers,FN,"8,43%"
388,Olivier Besancenot,gers,LCR,"3,66%"
389,Frédéric Nihous,gers,CPNT,"2,11%"
390,Philippe de Villiers,gers,MPF,"1,94%"
391,Marie-George Buffet,gers,PCF,"1,91%"
392,José Bové,gers,DIV,"1,64%"
393,Dominique Voynet,gers,Les Verts,"1,30%"
394,Arlette Laguiller,gers,LO,"0,99%"
395,Gérard Schivardi,gers,PT,"0,53%"
396,Ségolène Royal,gironde,PS,"29,27%"
397,Nicolas Sarkozy,gironde,UMP,"28,05%"
398,François Bayrou,gironde,UDF,"19,75%"
399,Jean-Marie Le Pen,gironde,FN,"9,12%"
400,Olivier Besancenot,gironde,LCR,"4,05%"
401,Marie-George Buffet,gironde,PCF,"1,84%"
402,Frédéric Nihous,gironde,CPNT,"1,78%"
403,Philippe de Villiers,gironde,MPF,"1,74%"
404,Dominique Voynet,gironde,Les Verts,"1,51%"
405,José Bové,gironde,DIV,"1,28%"
406,Arlette Laguiller,gironde,LO,"1,23%"
407,Gérard Schivardi,gironde,PT,"0,39%"
408,Nicolas Sarkozy,herault,UMP,"31,14%"
409,Ségolène Royal,herault,PS,"26,05%"
410,François Bayrou,herault,UDF,"15,31%"
411,Jean-Marie Le Pen,herault,FN,"13,35%"
412,Olivier Besancenot,herault,LCR,"3,91%"
413,Marie-George Buffet,herault,PCF,"2,16%"
414,José Bové,herault,DIV,"1,87%"
415,Philippe de Villiers,herault,MPF,"1,68%"
416,Dominique Voynet,herault,Les Verts,"1,45%"
417,Frédéric Nihous,herault,CPNT,"1,44%"
418,Arlette Laguiller,herault,LO,"1,10%"
419,Gérard Schivardi,herault,PT,"0,54%"
420,Ségolène Royal,ille-et-vilaine,PS,"28,22%"
421,Nicolas Sarkozy,ille-et-vilaine,UMP,"28,13%"
422,François Bayrou,ille-et-vilaine,UDF,"23,81%"
423,Jean-Marie Le Pen,ille-et-vilaine,FN,"6,23%"
424,Olivier Besancenot,ille-et-vilaine,LCR,"4,50%"
425,Philippe de Villiers,ille-et-vilaine,MPF,"2,22%"
426,Dominique Voynet,ille-et-vilaine,Les Verts,"2,09%"
427,José Bové,ille-et-vilaine,DIV,"1,31%"
428,Arlette Laguiller,ille-et-vilaine,LO,"1,28%"
429,Marie-George Buffet,ille-et-vilaine,PCF,"1,04%"
430,Frédéric Nihous,ille-et-vilaine,CPNT,"0,94%"
431,Gérard Schivardi,ille-et-vilaine,PT,"0,23%"
432,Nicolas Sarkozy,indre,UMP,"26,95%"
433,Ségolène Royal,indre,PS,"25,07%"
434,François Bayrou,indre,UDF,"17,92%"
435,Jean-Marie Le Pen,indre,FN,"11,80%"
436,Olivier Besancenot,indre,LCR,"5,37%"
437,Philippe de Villiers,indre,MPF,"3,18%"
438,Marie-George Buffet,indre,PCF,"2,50%"
439,Frédéric Nihous,indre,CPNT,"1,93%"
440,Arlette Laguiller,indre,LO,"1,86%"
441,José Bové,indre,DIV,"1,55%"
442,Dominique Voynet,indre,Les Verts,"1,36%"
443,Gérard Schivardi,indre,PT,"0,50%"
444,Nicolas Sarkozy,indre-et-loire,UMP,"30,70%"
445,Ségolène Royal,indre-et-loire,PS,"24,87%"
446,François Bayrou,indre-et-loire,UDF,"20,24%"
447,Jean-Marie Le Pen,indre-et-loire,FN,"9,10%"
448,Olivier Besancenot,indre-et-loire,LCR,"4,56%"
449,Philippe de Villiers,indre-et-loire,MPF,"3,06%"
450,Marie-George Buffet,indre-et-loire,PCF,"1,68%"
451,Dominique Voynet,indre-et-loire,Les Verts,"1,65%"
452,Arlette Laguiller,indre-et-loire,LO,"1,41%"
453,José Bové,indre-et-loire,DIV,"1,23%"
454,Frédéric Nihous,indre-et-loire,CPNT,"1,12%"
455,Gérard Schivardi,indre-et-loire,PT,"0,36%"
456,Nicolas Sarkozy,isere,UMP,"30,21%"
457,Ségolène Royal,isere,PS,"26,86%"
458,François Bayrou,isere,UDF,"19,31%"
459,Jean-Marie Le Pen,isere,FN,"10,09%"
460,Olivier Besancenot,isere,LCR,"3,84%"
461,Marie-George Buffet,isere,PCF,"1,97%"
462,Philippe de Villiers,isere,MPF,"1,95%"
463,Dominique Voynet,isere,Les Verts,"1,87%"
464,José Bové,isere,DIV,"1,54%"
465,Arlette Laguiller,isere,LO,"1,15%"
466,Frédéric Nihous,isere,CPNT,"0,90%"
467,Gérard Schivardi,isere,PT,"0,33%"
468,Nicolas Sarkozy,jura,UMP,"29,10%"
469,Ségolène Royal,jura,PS,"22,67%"
470,François Bayrou,jura,UDF,"18,62%"
471,Jean-Marie Le Pen,jura,FN,"13,35%"
472,Olivier Besancenot,jura,LCR,"4,42%"
473,Philippe de Villiers,jura,MPF,"2,71%"
474,Dominique Voynet,jura,Les Verts,"2,15%"
475,Marie-George Buffet,jura,PCF,"1,95%"
476,José Bové,jura,DIV,"1,65%"
477,Arlette Laguiller,jura,LO,"1,55%"
478,Frédéric Nihous,jura,CPNT,"1,38%"
479,Gérard Schivardi,jura,PT,"0,45%"
480,Ségolène Royal,landes,PS,"31,42%"
481,Nicolas Sarkozy,landes,UMP,"27,42%"
482,François Bayrou,landes,UDF,"20,03%"
483,Jean-Marie Le Pen,landes,FN,"7,07%"
484,Olivier Besancenot,landes,LCR,"3,86%"
485,Marie-George Buffet,landes,PCF,"2,60%"
486,Frédéric Nihous,landes,CPNT,"2,21%"
487,Philippe de Villiers,landes,MPF,"1,61%"
488,Dominique Voynet,landes,Les Verts,"1,24%"
489,José Bové,landes,DIV,"1,11%"
490,Arlette Laguiller,landes,LO,"1,08%"
491,Gérard Schivardi,landes,PT,"0,36%"
492,Nicolas Sarkozy,loir-et-cher,UMP,"29,84%"
493,Ségolène Royal,loir-et-cher,PS,"21,93%"
494,François Bayrou,loir-et-cher,UDF,"19,42%"
495,Jean-Marie Le Pen,loir-et-cher,FN,"12,80%"
496,Olivier Besancenot,loir-et-cher,LCR,"4,54%"
497,Philippe de Villiers,loir-et-cher,MPF,"3,43%"
498,Marie-George Buffet,loir-et-cher,PCF,"1,81%"
499,Frédéric Nihous,loir-et-cher,CPNT,"1,66%"
500,Dominique Voynet,loir-et-cher,Les Verts,"1,54%"
501,Arlette Laguiller,loir-et-cher,LO,"1,50%"
502,José Bové,loir-et-cher,DIV,"1,17%"
503,Gérard Schivardi,loir-et-cher,PT,"0,37%"
