,Candidat,Departement,Parti,Score
158,Antoine Waechter,cher,Les Verts,"3,24%"
159,Arlette Laguiller,cher,LO,"2,31%"
160,Pierre Juquin,cher,"
								Communiste rénovateur								","2,10%"
161,Pierre Boussel,cher,"
								Mouvement pour un parti des travailleurs								","0,41%"
162,Jacques Chirac,correze,RPR,"39,18%"
163,François Mitterrand,correze,PS,"28,93%"
164,André Lajoinie,correze,PCF,"13,67%"
165,Jean-Marie Le Pen,correze,FN,"5,93%"
166,Raymond Barre,correze,UDF,"4,85%"
167,Pierre Juquin,correze,"
								Communiste rénovateur								","3,17%"
168,Antoine Waechter,correze,Les Verts,"2,41%"
169,Arlette Laguiller,correze,LO,"1,61%"
170,Pierre Boussel,correze,"
								Mouvement pour un parti des travailleurs								","0,26%"
171,Jacques Chirac,corse-du-sud,RPR,"31,73%"
172,François Mitterrand,corse-du-sud,PS,"25,83%"
173,Jean-Marie Le Pen,corse-du-sud,FN,"14,81%"
174,Raymond Barre,corse-du-sud,UDF,"14,19%"
175,André Lajoinie,corse-du-sud,PCF,"8,50%"
176,Antoine Waechter,corse-du-sud,Les Verts,"2,38%"
177,Pierre Juquin,corse-du-sud,"
								Communiste rénovateur								","1,79%"
178,Arlette Laguiller,corse-du-sud,LO,"0,63%"
179,Pierre Boussel,corse-du-sud,"
								Mouvement pour un parti des travailleurs								","0,15%"
180,François Mitterrand,haute-corse,PS,"31,18%"
181,Jacques Chirac,haute-corse,RPR,"30,39%"
182,Raymond Barre,haute-corse,UDF,"12,05%"
183,Jean-Marie Le Pen,haute-corse,FN,"12,01%"
184,André Lajoinie,haute-corse,PCF,"7,86%"
185,Pierre Juquin,haute-corse,"
								Communiste rénovateur								","3,09%"
186,Antoine Waechter,haute-corse,Les Verts,"2,63%"
187,Arlette Laguiller,haute-corse,LO,"0,66%"
188,Pierre Boussel,haute-corse,"
								Mouvement pour un parti des travailleurs								","0,14%"
189,François Mitterrand,cote-d-or,PS,"35,75%"
190,Jacques Chirac,cote-d-or,RPR,"22,05%"
191,Raymond Barre,cote-d-or,UDF,"16,01%"
192,Jean-Marie Le Pen,cote-d-or,FN,"13,92%"
193,Antoine Waechter,cote-d-or,Les Verts,"4,09%"
194,André Lajoinie,cote-d-or,PCF,"3,94%"
195,Arlette Laguiller,cote-d-or,LO,"1,89%"
196,Pierre Juquin,cote-d-or,"
								Communiste rénovateur								","1,84%"
197,Pierre Boussel,cote-d-or,"
								Mouvement pour un parti des travailleurs								","0,49%"
198,François Mitterrand,creuse,PS,"34,82%"
199,Jacques Chirac,creuse,RPR,"28,21%"
200,André Lajoinie,creuse,PCF,"11,19%"
201,Raymond Barre,creuse,UDF,"9,96%"
202,Jean-Marie Le Pen,creuse,FN,"7,79%"
203,Pierre Juquin,creuse,"
								Communiste rénovateur								","2,80%"
204,Antoine Waechter,creuse,Les Verts,"2,53%"
205,Arlette Laguiller,creuse,LO,"2,29%"
206,Pierre Boussel,creuse,"
								Mouvement pour un parti des travailleurs								","0,42%"
207,François Mitterrand,dordogne,PS,"34,84%"
208,Jacques Chirac,dordogne,RPR,"23,77%"
209,Raymond Barre,dordogne,UDF,"12,09%"
210,André Lajoinie,dordogne,PCF,"11,34%"
211,Jean-Marie Le Pen,dordogne,FN,"9,81%"
212,Antoine Waechter,dordogne,Les Verts,"3,21%"
213,Pierre Juquin,dordogne,"
								Communiste rénovateur								","2,77%"
214,Arlette Laguiller,dordogne,LO,"1,82%"
215,Pierre Boussel,dordogne,"
								Mouvement pour un parti des travailleurs								","0,34%"
216,François Mitterrand,doubs,PS,"34,95%"
217,Jacques Chirac,doubs,RPR,"21,52%"
218,Raymond Barre,doubs,UDF,"15,63%"
219,Jean-Marie Le Pen,doubs,FN,"14,42%"
220,Antoine Waechter,doubs,Les Verts,"4,89%"
221,André Lajoinie,doubs,PCF,"3,45%"
222,Arlette Laguiller,doubs,LO,"2,57%"
223,Pierre Juquin,doubs,"
								Communiste rénovateur								","2,16%"
224,Pierre Boussel,doubs,"
								Mouvement pour un parti des travailleurs								","0,42%"
225,François Mitterrand,drome,PS,"31,61%"
226,Jacques Chirac,drome,RPR,"18,34%"
227,Raymond Barre,drome,UDF,"17,11%"
228,Jean-Marie Le Pen,drome,FN,"16,70%"
229,André Lajoinie,drome,PCF,"6,38%"
230,Antoine Waechter,drome,Les Verts,"4,58%"
231,Pierre Juquin,drome,"
								Communiste rénovateur								","2,96%"
232,Arlette Laguiller,drome,LO,"1,94%"
233,Pierre Boussel,drome,"
								Mouvement pour un parti des travailleurs								","0,38%"
234,François Mitterrand,eure,PS,"36,51%"
235,Jacques Chirac,eure,RPR,"19,67%"
236,Raymond Barre,eure,UDF,"16,35%"
237,Jean-Marie Le Pen,eure,FN,"14,04%"
238,André Lajoinie,eure,PCF,"5,73%"
239,Antoine Waechter,eure,Les Verts,"3,44%"
240,Arlette Laguiller,eure,LO,"2,19%"
241,Pierre Juquin,eure,"
								Communiste rénovateur								","1,63%"
242,Pierre Boussel,eure,"
								Mouvement pour un parti des travailleurs								","0,44%"
243,François Mitterrand,eure-et-loir,PS,"35,74%"
244,Jacques Chirac,eure-et-loir,RPR,"19,31%"
245,Raymond Barre,eure-et-loir,UDF,"17,61%"
246,Jean-Marie Le Pen,eure-et-loir,FN,"15,40%"
247,André Lajoinie,eure-et-loir,PCF,"4,54%"
248,Antoine Waechter,eure-et-loir,Les Verts,"3,38%"
249,Arlette Laguiller,eure-et-loir,LO,"2,00%"
250,Pierre Juquin,eure-et-loir,"
								Communiste rénovateur								","1,58%"
251,Pierre Boussel,eure-et-loir,"
								Mouvement pour un parti des travailleurs								","0,45%"
252,François Mitterrand,finistere,PS,"35,70%"
253,Jacques Chirac,finistere,RPR,"20,92%"
254,Raymond Barre,finistere,UDF,"19,56%"
255,Jean-Marie Le Pen,finistere,FN,"9,92%"
256,André Lajoinie,finistere,PCF,"4,33%"
257,Antoine Waechter,finistere,Les Verts,"4,27%"
258,Pierre Juquin,finistere,"
								Communiste rénovateur								","2,77%"
259,Arlette Laguiller,finistere,LO,"2,19%"
260,Pierre Boussel,finistere,"
								Mouvement pour un parti des travailleurs								","0,33%"
261,François Mitterrand,gard,PS,"29,05%"
262,Jean-Marie Le Pen,gard,FN,"20,59%"
263,Jacques Chirac,gard,RPR,"15,36%"
264,Raymond Barre,gard,UDF,"14,56%"
265,André Lajoinie,gard,PCF,"12,07%"
266,Antoine Waechter,gard,Les Verts,"3,29%"
267,Pierre Juquin,gard,"
								Communiste rénovateur								","2,95%"
268,Arlette Laguiller,gard,LO,"1,76%"
269,Pierre Boussel,gard,"
								Mouvement pour un parti des travailleurs								","0,37%"
270,François Mitterrand,haute-garonne,PS,"40,35%"
271,Jacques Chirac,haute-garonne,RPR,"16,79%"
272,Raymond Barre,haute-garonne,UDF,"14,74%"
273,Jean-Marie Le Pen,haute-garonne,FN,"13,15%"
274,André Lajoinie,haute-garonne,PCF,"5,90%"
275,Antoine Waechter,haute-garonne,Les Verts,"3,70%"
276,Pierre Juquin,haute-garonne,"
								Communiste rénovateur								","3,03%"
277,Arlette Laguiller,haute-garonne,LO,"2,01%"
278,Pierre Boussel,haute-garonne,"
								Mouvement pour un parti des travailleurs								","0,33%"
279,François Mitterrand,gers,PS,"40,15%"
280,Jacques Chirac,gers,RPR,"20,30%"
281,Raymond Barre,gers,UDF,"14,45%"
282,Jean-Marie Le Pen,gers,FN,"10,68%"
283,André Lajoinie,gers,PCF,"5,95%"
284,Antoine Waechter,gers,Les Verts,"3,77%"
285,Pierre Juquin,gers,"
								Communiste rénovateur								","2,41%"
286,Arlette Laguiller,gers,LO,"1,96%"
287,Pierre Boussel,gers,"
								Mouvement pour un parti des travailleurs								","0,33%"
288,François Mitterrand,gironde,PS,"38,86%"
289,Jacques Chirac,gironde,RPR,"19,36%"
290,Raymond Barre,gironde,UDF,"15,59%"
291,Jean-Marie Le Pen,gironde,FN,"12,30%"
292,André Lajoinie,gironde,PCF,"6,30%"
293,Antoine Waechter,gironde,Les Verts,"3,02%"
294,Pierre Juquin,gironde,"
								Communiste rénovateur								","2,18%"
295,Arlette Laguiller,gironde,LO,"2,02%"
296,Pierre Boussel,gironde,"
								Mouvement pour un parti des travailleurs								","0,37%"
297,François Mitterrand,herault,PS,"31,12%"
298,Jean-Marie Le Pen,herault,FN,"19,91%"
299,Jacques Chirac,herault,RPR,"17,32%"
300,Raymond Barre,herault,UDF,"13,64%"
301,André Lajoinie,herault,PCF,"9,04%"
302,Pierre Juquin,herault,"
								Communiste rénovateur								","3,54%"
303,Antoine Waechter,herault,Les Verts,"3,34%"
304,Arlette Laguiller,herault,LO,"1,72%"
305,Pierre Boussel,herault,"
								Mouvement pour un parti des travailleurs								","0,37%"
306,François Mitterrand,ille-et-vilaine,PS,"37,61%"
307,Jacques Chirac,ille-et-vilaine,RPR,"20,95%"
308,Raymond Barre,ille-et-vilaine,UDF,"20,40%"
309,Jean-Marie Le Pen,ille-et-vilaine,FN,"8,64%"
310,Antoine Waechter,ille-et-vilaine,Les Verts,"4,41%"
311,André Lajoinie,ille-et-vilaine,PCF,"2,84%"
312,Arlette Laguiller,ille-et-vilaine,LO,"2,60%"
313,Pierre Juquin,ille-et-vilaine,"
								Communiste rénovateur								","2,14%"
314,Pierre Boussel,ille-et-vilaine,"
								Mouvement pour un parti des travailleurs								","0,42%"
315,François Mitterrand,indre,PS,"37,65%"
316,Jacques Chirac,indre,RPR,"19,87%"
317,Raymond Barre,indre,UDF,"14,65%"
318,Jean-Marie Le Pen,indre,FN,"11,34%"
319,André Lajoinie,indre,PCF,"8,44%"
320,Antoine Waechter,indre,Les Verts,"2,90%"
321,Arlette Laguiller,indre,LO,"2,60%"
322,Pierre Juquin,indre,"
								Communiste rénovateur								","2,12%"
323,Pierre Boussel,indre,"
								Mouvement pour un parti des travailleurs								","0,43%"
324,François Mitterrand,indre-et-loire,PS,"37,54%"
325,Raymond Barre,indre-et-loire,UDF,"18,75%"
326,Jacques Chirac,indre-et-loire,RPR,"18,30%"
327,Jean-Marie Le Pen,indre-et-loire,FN,"12,23%"
328,André Lajoinie,indre-et-loire,PCF,"4,96%"
329,Antoine Waechter,indre-et-loire,Les Verts,"3,46%"
330,Arlette Laguiller,indre-et-loire,LO,"2,23%"
331,Pierre Juquin,indre-et-loire,"
								Communiste rénovateur								","2,04%"
332,Pierre Boussel,indre-et-loire,"
								Mouvement pour un parti des travailleurs								","0,49%"
333,François Mitterrand,isere,PS,"33,90%"
334,Raymond Barre,isere,UDF,"16,92%"
335,Jacques Chirac,isere,RPR,"16,61%"
336,Jean-Marie Le Pen,isere,FN,"16,10%"
337,André Lajoinie,isere,PCF,"6,84%"
338,Antoine Waechter,isere,Les Verts,"4,60%"
339,Pierre Juquin,isere,"
								Communiste rénovateur								","2,84%"
340,Arlette Laguiller,isere,LO,"1,79%"
341,Pierre Boussel,isere,"
								Mouvement pour un parti des travailleurs								","0,40%"
342,François Mitterrand,jura,PS,"33,43%"
343,Jacques Chirac,jura,RPR,"18,77%"
344,Raymond Barre,jura,UDF,"17,43%"
345,Jean-Marie Le Pen,jura,FN,"14,53%"
346,André Lajoinie,jura,PCF,"5,58%"
347,Antoine Waechter,jura,Les Verts,"5,35%"
348,Arlette Laguiller,jura,LO,"2,46%"
349,Pierre Juquin,jura,"
								Communiste rénovateur								","1,99%"
350,Pierre Boussel,jura,"
								Mouvement pour un parti des travailleurs								","0,46%"
351,François Mitterrand,landes,PS,"42,07%"
352,Jacques Chirac,landes,RPR,"21,00%"
353,Raymond Barre,landes,UDF,"14,97%"
354,Jean-Marie Le Pen,landes,FN,"8,96%"
355,André Lajoinie,landes,PCF,"6,94%"
356,Antoine Waechter,landes,Les Verts,"2,33%"
357,Pierre Juquin,landes,"
								Communiste rénovateur								","1,97%"
358,Arlette Laguiller,landes,LO,"1,47%"
359,Pierre Boussel,landes,"
								Mouvement pour un parti des travailleurs								","0,30%"
360,François Mitterrand,loir-et-cher,PS,"35,55%"
361,Jacques Chirac,loir-et-cher,RPR,"19,35%"
362,Raymond Barre,loir-et-cher,UDF,"18,22%"
363,Jean-Marie Le Pen,loir-et-cher,FN,"12,79%"
364,André Lajoinie,loir-et-cher,PCF,"6,40%"
365,Antoine Waechter,loir-et-cher,Les Verts,"3,12%"
366,Arlette Laguiller,loir-et-cher,LO,"2,22%"
367,Pierre Juquin,loir-et-cher,"
								Communiste rénovateur								","1,93%"
368,Pierre Boussel,loir-et-cher,"
								Mouvement pour un parti des travailleurs								","0,40%"
369,François Mitterrand,loire,PS,"30,42%"
370,Raymond Barre,loire,UDF,"18,51%"
371,Jacques Chirac,loire,RPR,"17,93%"
372,Jean-Marie Le Pen,loire,FN,"17,36%"
373,André Lajoinie,loire,PCF,"6,98%"
374,Antoine Waechter,loire,Les Verts,"4,06%"
375,Pierre Juquin,loire,"
								Communiste rénovateur								","2,26%"
376,Arlette Laguiller,loire,LO,"2,03%"
377,Pierre Boussel,loire,"
								Mouvement pour un parti des travailleurs								","0,46%"
378,François Mitterrand,haute-loire,PS,"29,98%"
379,Raymond Barre,haute-loire,UDF,"21,43%"
380,Jacques Chirac,haute-loire,RPR,"21,00%"
381,Jean-Marie Le Pen,haute-loire,FN,"14,08%"
382,André Lajoinie,haute-loire,PCF,"4,45%"
383,Antoine Waechter,haute-loire,Les Verts,"3,99%"
384,Pierre Juquin,haute-loire,"
								Communiste rénovateur								","2,31%"
385,Arlette Laguiller,haute-loire,LO,"2,29%"
386,Pierre Boussel,haute-loire,"
								Mouvement pour un parti des travailleurs								","0,48%"
387,François Mitterrand,loire-atlantique,PS,"36,79%"
388,Raymond Barre,loire-atlantique,UDF,"19,89%"
389,Jacques Chirac,loire-atlantique,RPR,"19,76%"
390,Jean-Marie Le Pen,loire-atlantique,FN,"10,04%"
391,Antoine Waechter,loire-atlantique,Les Verts,"4,27%"
392,André Lajoinie,loire-atlantique,PCF,"3,98%"
393,Arlette Laguiller,loire-atlantique,LO,"2,39%"
394,Pierre Juquin,loire-atlantique,"
								Communiste rénovateur								","2,37%"
395,Pierre Boussel,loire-atlantique,"
								Mouvement pour un parti des travailleurs								","0,51%"
396,François Mitterrand,loiret,PS,"31,83%"
397,Jacques Chirac,loiret,RPR,"21,02%"
398,Raymond Barre,loiret,UDF,"18,28%"
399,Jean-Marie Le Pen,loiret,FN,"14,92%"
400,André Lajoinie,loiret,PCF,"5,98%"
401,Antoine Waechter,loiret,Les Verts,"3,74%"
402,Arlette Laguiller,loiret,LO,"2,03%"
403,Pierre Juquin,loiret,"
								Communiste rénovateur								","1,78%"
404,Pierre Boussel,loiret,"
								Mouvement pour un parti des travailleurs								","0,42%"
405,François Mitterrand,lot,PS,"38,77%"
406,Jacques Chirac,lot,RPR,"23,83%"
407,Raymond Barre,lot,UDF,"12,12%"
408,Jean-Marie Le Pen,lot,FN,"8,34%"
409,André Lajoinie,lot,PCF,"7,07%"
410,Antoine Waechter,lot,Les Verts,"4,40%"
411,Pierre Juquin,lot,"
								Communiste rénovateur								","3,00%"
412,Arlette Laguiller,lot,LO,"2,11%"
413,Pierre Boussel,lot,"
								Mouvement pour un parti des travailleurs								","0,37%"
414,François Mitterrand,lot-et-garonne,PS,"33,63%"
415,Jacques Chirac,lot-et-garonne,RPR,"18,53%"
416,Raymond Barre,lot-et-garonne,UDF,"16,04%"
417,Jean-Marie Le Pen,lot-et-garonne,FN,"15,41%"
418,André Lajoinie,lot-et-garonne,PCF,"8,50%"
419,Antoine Waechter,lot-et-garonne,Les Verts,"3,48%"
420,Pierre Juquin,lot-et-garonne,"
								Communiste rénovateur								","2,33%"
421,Arlette Laguiller,lot-et-garonne,LO,"1,75%"
422,Pierre Boussel,lot-et-garonne,"
								Mouvement pour un parti des travailleurs								","0,32%"
423,Jacques Chirac,lozere,RPR,"26,93%"
424,François Mitterrand,lozere,PS,"26,84%"
425,Raymond Barre,lozere,UDF,"21,59%"
426,Jean-Marie Le Pen,lozere,FN,"11,63%"
427,André Lajoinie,lozere,PCF,"4,87%"
428,Antoine Waechter,lozere,Les Verts,"3,42%"
429,Pierre Juquin,lozere,"
								Communiste rénovateur								","2,59%"
430,Arlette Laguiller,lozere,LO,"1,73%"
431,Pierre Boussel,lozere,"
								Mouvement pour un parti des travailleurs								","0,39%"
432,François Mitterrand,maine-et-loire,PS,"32,63%"
433,Raymond Barre,maine-et-loire,UDF,"24,28%"
434,Jacques Chirac,maine-et-loire,RPR,"22,06%"
435,Jean-Marie Le Pen,maine-et-loire,FN,"9,53%"
436,Antoine Waechter,maine-et-loire,Les Verts,"4,15%"
437,André Lajoinie,maine-et-loire,PCF,"2,75%"
438,Arlette Laguiller,maine-et-loire,LO,"2,57%"
439,Pierre Juquin,maine-et-loire,"
								Communiste rénovateur								","1,60%"
440,Pierre Boussel,maine-et-loire,"
								Mouvement pour un parti des travailleurs								","0,45%"
441,François Mitterrand,manche,PS,"33,78%"
442,Jacques Chirac,manche,RPR,"23,26%"
443,Raymond Barre,manche,UDF,"20,88%"
444,Jean-Marie Le Pen,manche,FN,"10,78%"
445,Antoine Waechter,manche,Les Verts,"4,32%"
446,André Lajoinie,manche,PCF,"2,83%"
447,Arlette Laguiller,manche,LO,"2,19%"
448,Pierre Juquin,manche,"
								Communiste rénovateur								","1,53%"
449,Pierre Boussel,manche,"
								Mouvement pour un parti des travailleurs								","0,44%"
450,François Mitterrand,marne,PS,"34,61%"
451,Jacques Chirac,marne,RPR,"20,49%"
452,Raymond Barre,marne,UDF,"17,21%"
453,Jean-Marie Le Pen,marne,FN,"14,03%"
454,André Lajoinie,marne,PCF,"5,85%"
455,Antoine Waechter,marne,Les Verts,"3,95%"
456,Arlette Laguiller,marne,LO,"2,05%"
457,Pierre Juquin,marne,"
								Communiste rénovateur								","1,42%"
458,Pierre Boussel,marne,"
								Mouvement pour un parti des travailleurs								","0,39%"
459,François Mitterrand,haute-marne,PS,"35,28%"
460,Jacques Chirac,haute-marne,RPR,"19,58%"
461,Jean-Marie Le Pen,haute-marne,FN,"15,63%"
462,Raymond Barre,haute-marne,UDF,"15,62%"
463,André Lajoinie,haute-marne,PCF,"5,38%"
464,Antoine Waechter,haute-marne,Les Verts,"4,21%"
465,Arlette Laguiller,haute-marne,LO,"2,41%"
